ranking,game_id,name,min_players,max_players,avg_timeplay,min_timeplay,max_timeplay,year,avg_rating,num_votes,age,category,designer,weight
2387,13751,Under the Shadow of the Dragon,2,2,90,23,90,2004,6.52066,621,10,"Adventure, Fantasy",Lutz Stepponat,2.4024
2415,142,Vino,3,5,90,90,90,1999,6.47884,642,12,Economic,Christwart Conrad,2.9839
2463,186721,Healthy Heart Hospital,1,5,90,90,90,2015,7.37017,263,13,"Economic, Medical","Anna-Marie Nelson, Scott Nelson",2.8
2474,160561,Versailles,2,5,90,90,90,2014,6.56069,565,12,Territory Building,Andrei Novac,2.8158
2486,29294,World of Warcraft: The Adventure Game,2,4,90,90,90,2008,6.17015,1710,12,"Adventure, Fantasy, Fighting, Video Game Theme","Daniel Clark (I), Michael Hurley, Corey Konieczka, Jeff Tidball",2.5588
2502,114912,Starship Merchants,2,4,90,90,90,2012,6.72266,420,14,"Science Fiction, Space Exploration, Transportation","Joe Huber (I), Thomas Lehmann",2.6889
2534,4556,Patton's Best,1,1,90,90,90,1987,6.58531,597,12,"Wargame, World War II",Bruce Shelley,3.1467
2544,155025,The Magnates: A Game of Power,2,5,90,90,90,2014,6.89073,372,10,"Card Game, Novel-based, Political, Renaissance","Jaro Andruszkiewicz, Waldek Gumienny",2.3714
2557,22420,Battles of Napoleon: The Eagle and the Lion,2,2,90,23,90,2010,7.37741,270,12,"Miniatures, Napoleonic, Wargame","Ugo Di Meglio, Sergio Guerri",3.6444
2569,90041,Principato,2,4,90,90,90,2011,6.28075,872,10,"City Building, Economic, Farming, Renaissance",Touko Tahkokallio,2.2857
2574,204574,The Flow of History,2,5,90,90,90,2016,7.06048,290,12,"Card Game, Civilization",Jesse Li,2.7143
2582,205498,Round House,2,5,90,90,90,2016,7.48371,221,10,"Economic, Medieval","Eros Lin, Zong-Hua Yang (Bob)",3.125
2591,196496,Warfighter: The WWII Tactical Combat Card Game,1,6,90,90,90,2016,8.00763,190,0,"Card Game, Wargame, World War II",Dan Verssen,2.75
2608,1498,Paydirt,1,2,90,90,90,1970,6.86544,379,11,"Dice, Sports","David S. Neft, Dr. Thomas Nicely",2.2766
2624,136558,Expedition: Famous Explorers,2,6,90,90,90,2013,6.88054,331,13,"Exploration, Travel",Wolfgang Kramer,1.9615
